player,games,starts,goals,assists,shots_on_goal,shots,yellow,red
"Kelly, Martin",19,17,0,1,0,2,0,0
"McArthur, James",25,25,0,2,6,21,4,0
"Meyer, Max",13,6,0,0,2,7,1,0
"Pickford, Jordan",26,26,0,0,0,0,1,0
"Coleman, Seamus",17,13,0,1,1,3,3,0
"Digne, Lucas",25,25,0,5,1,15,2,0
"Gomes, Andre",8,7,0,0,0,1,3,0
"Schneiderlin, Morgan",14,11,0,0,0,4,3,0
"Foster, Ben",26,26,0,0,1,1,1,0
"Femenia, Kiko",17,15,0,0,1,4,4,0
"Dawson, Craig",19,16,0,0,2,4,4,0
"Cathcart, Craig",24,24,0,0,0,3,5,0
"Holebas, Jose",12,11,0,0,2,4,5,0
"Capoue, Etienne",21,21,0,2,1,12,6,0
"Ryan, Mathew",26,26,0,0,0,0,0,0
"Burn, Dan",22,22,0,0,0,7,3,0
"Montoya, Martin",21,19,0,1,2,7,3,0
"Stephens, Dale",23,22,0,1,2,16,6,0
"March, Solly",11,7,0,1,5,11,2,0
"Locadia, Jurgen",2,1,0,0,1,2,0,0
"Cook, Lewis",18,9,0,0,0,4,3,0
"Gbamin, Jean-Philippe",2,1,0,0,0,0,0,0
"Hojbjerg, Pierre",25,24,0,1,8,32,5,0
"Success, Isaac",5,0,0,0,1,1,1,0
"Boufal, Sofiane",17,6,0,1,8,20,2,0
"Freeman, Luke",9,3,0,0,1,4,2,0
"Lennon, Aaron",14,4,0,0,0,0,3,0
"Solanke, Dominic",22,12,0,1,5,15,1,0
Bernardo,9,6,0,0,1,6,1,0
"Lloris, Hugo",10,10,0,0,0,0,0,0
"Walker-Peters, Kyle",4,4,0,0,0,1,0,0
"Sanchez, Davinson",19,18,0,0,2,2,4,0
"Rose, Danny",14,11,0,0,0,2,5,0
"Winks, Harry",21,17,0,0,2,7,6,0
"Heaton, Tom",20,20,0,0,0,0,0,0
"Elmohamady, Ahmed",11,7,0,1,0,1,0,0
"Taylor, Neil",10,8,0,0,1,2,2,0
Jota,8,4,0,1,2,3,0,0
"Kodjia, Jonathan",6,0,0,0,0,2,1,0
"Nkoudou, Georges-Kevin",1,0,0,0,0,0,0,0
"Skipp, Oliver",3,0,0,0,0,0,0,0
"Dubravka, Martin",26,26,0,0,0,0,0,0
"Dummett, Paul",16,14,0,0,0,1,2,0
"Schmeichel, Kasper",26,26,0,0,0,0,1,0
"Manquillo, Javi",11,9,0,1,1,1,2,0
"Longstaff, Sean",19,12,0,1,5,15,1,1
"Ritchie, Matt",7,5,0,0,0,3,1,0
"Leno, Bernd",26,26,0,0,0,0,2,0
"Maitland-Niles, Ainsley",14,14,0,2,0,4,3,0
"Patricio, Rui",26,26,0,0,1,4,0,0
"Monreal, Nacho",3,3,0,0,0,0,0,0
"Coady, Conor",26,26,0,0,1,1,2,0
"Mkhitaryan, Henrikh",3,1,0,0,0,2,1,0
"Bennett, Ryan",11,7,0,0,0,0,2,0
"Xhaka, Granit",20,20,0,1,2,10,7,0
"Boly, Willy",10,10,0,1,1,1,0,0
"Guendouzi, Matteo",21,17,0,1,5,11,6,0
"Willock, Joe",19,6,0,0,3,7,1,0
"Nelson, Reiss",10,5,0,0,3,5,1,0
