team,player,position,age,contract_value,contract_length,transfer_fee
Chelsea F.C.,Jorge Luiz Frello Filho,M,28,28600000,5 yr,50500000
Chelsea F.C.,Mateo Kovacic,M,25,27735000,5 yr,51300000
Chelsea F.C.,Marcos Alonso,D,29,26000000,5 yr,23000000
Chelsea F.C.,Danny Drinkwater,M,29,26000000,5 yr,34110000
Chelsea F.C.,Antonio Rudiger,D,26,26000000,5 yr,29750000
Chelsea F.C.,Willian da Silva,M,31,24960000,4 yr,35500000
Chelsea F.C.,Michy Batshuayi,F,26,23400000,5 yr,31500000
Chelsea F.C.,Baba Rahman,D,25,22360000,5 yr,17500000
Chelsea F.C.,Victor Moses,D,29,19500000,5 yr,11500000
Chelsea F.C.,Mason Mount,M,21,19500000,5 yr,-
Chelsea F.C.,C�sar Azpilicueta,D,30,18720000,4 yr,8800000
Chelsea F.C.,Andreas Christensen,D,23,16640000,4 yr,-
Chelsea F.C.,Davide Zappacosta,D,27,14560000,4 yr,25750000
Chelsea F.C.,Tammy Abraham,F,22,13000000,5 yr,-
Chelsea F.C.,Kurt Zouma,D,25,12480000,6 yr,12400000
Chelsea F.C.,Pedro Rodr�guez Ledesma,M,32,10400000,2 yr,27000000
Chelsea F.C.,Emerson Palmieri,D,25,9828000,5 yr,18000000
Chelsea F.C.,Ruben Loftus-Cheek,F,24,9100000,5 yr,-
Chelsea F.C.,Robert Kenedy,M,24,6500000,5 yr,7000000
Chelsea F.C.,Marco van Ginkel,M,27,5800000,4 yr,8250000
Chelsea F.C.,Olivier Giroud,F,33,5720000,1 yr,18000000
Chelsea F.C.,Lewis Baker,M,24,5200000,5 yr,-
Chelsea F.C.,Matt Miazga,D,24,3900000,5 yr,4000000
Chelsea F.C.,Nathan de Souza,F,23,2600000,5 yr,3500000
Chelsea F.C.,Jamal Blackman,GK,26,2080000,5 yr,-
Chelsea F.C.,Ethan Ampadu,M,19,1950000,5 yr,2520000
Chelsea F.C.,Willy Caballero,GK,38,1560000,1 yr,-
Chelsea F.C.,Jake Clarke-Salter,D,22,1040000,4 yr,-
Chelsea F.C.,Lucas Piaz�n,F,26,0,3 yr,-
Chelsea F.C.,Mario Pasalic,M,25,0,3 yr,2200000
Chelsea F.C.,Danilo Pantic,M,23,0,6 yr,-
Chelsea F.C.,Callum Hudson-Odoi,F,19,0,5 yr,-
Chelsea F.C.,Billy Gilmour,M,18,0,4 yr,-
Chelsea F.C.,Reece James,D,20,0,6 yr,-
Chelsea F.C.,Fikayo Tomori,D,22,0,5 yr,-
Crystal Palace,Wilfried Zaha,F,27,33800000,5 yr,3260000
Crystal Palace,Mamadou Sakho,D,30,20800000,4 yr,25380000
Crystal Palace,Max Meyer,M,24,19500000,3 yr,-
Crystal Palace,Scott Dann,D,33,15600000,5 yr,1560000
Crystal Palace,Connor Wickham,F,26,15600000,5 yr,8500000
