player,games,starts,goals,assists,shots_on_goal,shots,yellow,red
"Chilwell, Ben",36,36,0,4,11,22,4,0
"Choudhury, Hamza",9,7,0,0,2,4,0,0
"Diabate, Fousseni",1,1,0,0,0,0,0,0
"Fuchs, Christian",3,2,0,0,0,2,0,0
"Hamer, Ben",7,7,0,0,0,0,0,0
"Iborra, Vicente",8,3,0,0,1,2,0,0
"Okazaki, Shinji",21,1,0,1,3,4,0,0
"Schmeichel, Kasper",38,38,0,0,0,1,3,0
"Silva, Adrien",2,1,0,0,0,0,0,0
"Simpson, Danny",6,3,0,0,0,0,0,0
"Camacho, Rafael",1,0,0,0,0,0,0,0
"Clyne, Nathaniel",18,14,0,1,1,5,0,0
"Gomez, Joe",16,12,0,0,1,4,2,0
"Lallana, Adam",13,5,0,0,3,5,1,0
"Moreno, Alberto",2,2,0,0,0,1,0,0
"Oxlade-Chamberlain, Alex",2,0,0,0,1,1,0,0
"Robertson, Andy",36,36,0,10,5,17,4,0
"Solanke, Dominic",10,2,0,1,3,10,0,0
"Delph, Fabian",11,8,0,1,3,4,1,1
Ederson,38,38,0,1,0,0,2,0
"Mendy, Benjamin",10,10,0,4,3,7,1,0
"Otamendi, Nicolas",18,14,0,0,2,14,1,0
"Stones, John",24,20,0,0,1,5,1,0
"Zinchenko, Olexandr",14,14,0,3,1,7,1,0
"Bailly, Eric",12,8,0,0,1,3,0,1
"Darmian, Matteo",6,5,0,0,1,1,0,0
"De Gea, David",38,38,0,0,0,0,1,0
"Fellaini, Marouane",14,6,0,1,3,9,1,0
"Jones, Phil",18,15,0,0,2,5,1,0
"Rojo, Marcos",5,2,0,0,3,6,2,0
"Valencia, Antonio",6,5,0,0,0,2,2,0
"Diame, Mohamed",29,24,0,0,4,21,3,0
"Dubravka, Martin",38,38,0,0,0,0,1,0
"Dummett, Paul",26,21,0,0,1,9,1,0
"Lascelles, Jamaal",32,32,0,1,1,10,4,0
"Lejeune, Florian",12,12,0,0,4,7,0,0
"Manquillo, Javi",18,12,0,3,1,2,2,0
"Murphy, Jacob",9,3,0,1,2,3,0,0
"Bednarek, Jan",25,24,0,1,2,6,7,0
"Davis, Steven",3,1,0,1,0,0,0,0
"Forster, Fraser",1,1,0,0,0,0,0,0
"Hoedt, Wesley",13,13,0,0,1,6,2,0
"McCarthy, Alex",25,25,0,0,0,0,1,0
"Sims, Josh",7,2,0,1,1,5,0,0
"Yoshida, Maya",17,17,0,1,3,13,0,0
"Alderweireld, Toby",34,33,0,0,6,17,3,0
"Aurier, Serge",8,6,0,2,1,4,1,0
"Davies, Ben",27,20,0,0,1,14,2,0
"Dembele, Mousa",10,7,0,0,0,1,1,0
"Gazzaniga, Paulo",3,3,0,0,0,0,0,0
"Lloris, Hugo",33,33,0,0,0,0,0,0
"Rose, Danny",26,20,0,3,2,15,5,0
"Sissoko, Moussa",29,27,0,3,3,15,2,0
"Vorm, Michel",2,2,0,0,0,0,0,0
"Walker-Peters, Kyle",6,4,0,3,0,1,1,0
"Carroll, Andy",12,3,0,0,6,14,2,0
"Cresswell, Aaron",20,18,0,1,1,11,1,0
"Diangana, Grady",17,6,0,1,3,10,0,0
"Hart, Joe",19,19,0,0,0,0,0,0
"Kouyate, Cheikhou",31,21,0,2,8,20,3,0
"Masuaku, Arthur",23,19,0,1,2,5,2,0
"Obiang, Pedro",24,12,0,1,1,14,0,0
"Zabaleta, Pablo",26,23,0,1,1,7,4,0
"Bonatini, Leo",7,0,0,1,1,8,0,0
"White, Morgan Gibbs",26,5,0,1,1,7,1,0
"Norris, Will",1,0,0,0,0,0,0,0
"Vinagre, Ruben",17,7,0,0,4,6,1,0
"Dann, Scott",10,7,0,1,2,5,1,0
"Fosu-Mensah, Timothy",12,10,0,0,0,3,3,0
"Hennessey, Wayne",18,17,0,0,0,0,0,0
"Kelly, Martin",13,12,0,0,1,3,2,0
"Puncheon, Jason",11,5,0,0,0,6,1,0
"Sakho, Mamadou",27,27,0,0,0,5,2,0
"Sako, Bakary",4,0,0,0,0,0,0,0
"Sorloth, Alexander",12,0,0,0,2,4,0,0
"Souare, Pape",1,0,0,0,0,0,0,0
"Speroni, Julian",1,1,0,0,0,0,0,0
"Wan-Bissaka, Aaron",35,35,0,3,1,8,4,1
"Wickham, Connor",6,0,0,0,1,5,0,0
"Britos, Miguel",3,2,0,0,0,0,0,0
"Chalobah, Nathaniel",9,3,0,0,1,2,2,0
"Janmaat, Daryl",18,17,0,2,1,9,3,0
"Kabasele, Christian",21,19,0,0,1,7,2,0
"Mariappa, Adrian",26,20,0,0,1,8,3,0
"Okaka, Stefano",2,0,0,0,0,2,1,0
"Prodl, Sebastian",1,0,0,0,0,0,0,0
"Markovic, Lazar",1,0,0,0,0,0,0,0
"Leno, Bernd",32,31,0,0,0,0,0,0
